"Specimen_No","Specimen","Site_No","Site","Period_No","Period","Element_Portion","Element","LSI","p_immature","p_female","p_male"
1290,"Animal.612",12,"Mezraa-Teleilat",1,"PPNB",3,"Rad_dist",0.079,0,0.41,0.59
1291,"Animal.613",12,"Mezraa-Teleilat",1,"PPNB",2,"Rad_prox",0.095,0.25,0.31,0.44
1292,"Animal.614",12,"Mezraa-Teleilat",1,"PPNB",4,"Mtc",0.15,0,0.3,0.7
1293,"Animal.6149",2,"Basur Hoyuk",6,"MBA",5,"Tib",0.085,0,0.75,0.25
1294,"Animal.615",12,"Mezraa-Teleilat",1,"PPNB",4,"Mtc",0.13,0,0.38,0.62
1295,"Animal.6150",2,"Basur Hoyuk",6,"MBA",9,"PH1",0.297,0,0.24,0.76
1296,"Animal.6151",2,"Basur Hoyuk",6,"MBA",9,"PH1",0.248,0,0.4,0.6
1297,"Animal.6153",8,"Hirbemerdon Tepe",6,"MBA",5,"Tib",0.256,0,0.26,0.74
1298,"Animal.6154",8,"Hirbemerdon Tepe",6,"MBA",5,"Tib",0.201,0,0.42,0.58
1299,"Animal.6155",8,"Hirbemerdon Tepe",6,"MBA",5,"Tib",0.136,0,0.66,0.34
1300,"Animal.6159",8,"Hirbemerdon Tepe",6,"MBA",9,"PH1",0.104,0,0.81,0.19
1301,"Animal.616",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.011,0.61,0.32,0.07
1302,"Animal.6160",8,"Hirbemerdon Tepe",6,"MBA",9,"PH1",0.338,0,0.14,0.86
1303,"Animal.6161",8,"Hirbemerdon Tepe",6,"MBA",9,"PH1",0.356,0,0.13,0.87
1304,"Animal.6163",8,"Hirbemerdon Tepe",6,"MBA",9,"PH1",0.104,0,0.81,0.19
1305,"Animal.6164",8,"Hirbemerdon Tepe",6,"MBA",9,"PH1",0.254,0,0.32,0.68
1306,"Animal.617",12,"Mezraa-Teleilat",1,"PPNB",6,"Ast",0.001,0.62,0.31,0.06
1307,"Animal.6176",10,"Kenan Tepe",6,"MBA",5,"Tib",0.153,0,0.43,0.57
1308,"Animal.6177",10,"Kenan Tepe",6,"MBA",5,"Tib",0.147,0,0.45,0.55
